0.0092571,-0.22001,162.5
-0.019377,-0.21999,162.5
-0.048011,-0.21999,162.5
-0.076644,-0.22001,162.5
-0.10528,-0.22005,162.5
-0.13391,-0.22011,162.5
-0.16255,-0.22019,162.5
-0.19118,-0.22029,162.5
-0.21981,-0.22041,162.5
-0.24845,-0.22055,162.5
-0.27708,-0.22072,162.5
-0.30571,-0.2209,162.5
-0.33435,-0.2211,162.5
-0.36298,-0.22132,162.5
-0.39161,-0.22156,162.5
-0.42025,-0.22182,162.5
-0.44888,-0.2221,162.5
-0.47751,-0.2224,162.5
-0.50614,-0.22272,162.5
-0.53478,-0.22306,162.5
-0.56341,-0.22342,162.5
-0.59204,-0.22381,162.5
-0.62067,-0.22421,162.5
-0.6493,-0.22463,162.5
-0.69047,-0.22516,162.5
-1.0074,-0.22788,162.5
-1.3369,-0.23092,162.49
-1.6664,-0.2342,162.49
-1.9959,-0.2377,162.48
-2.3253,-0.24143,162.48
-2.6548,-0.24539,162.47
-2.9841,-0.24959,162.46
-3.3135,-0.25401,162.45
-3.6429,-0.25866,162.44
-3.9722,-0.26354,162.43
-4.3014,-0.26865,162.42
-4.6306,-0.27399,162.4
-4.9598,-0.27956,162.39
-5.289,-0.28536,162.38
-5.618,-0.29139,162.36
-5.9471,-0.29765,162.34
-6.276,-0.30413,162.32
-6.605,-0.31085,162.31
-6.9338,-0.31779,162.29
-7.2626,-0.32497,162.27
-7.5913,-0.33237,162.24
-7.92,-0.34,162.22
-8.2486,-0.34786,162.2
-8.5771,-0.35594,162.17
-8.9067,-0.36441,162.15
-9.2623,-0.37651,162.12
-9.619,-0.38925,162.09
-9.9756,-0.40249,162.06
-10.332,-0.41623,162.02
-10.688,-0.43047,161.99
-11.045,-0.4452,161.96
-11.401,-0.46042,161.92
-11.757,-0.47614,161.88
-12.112,-0.49235,161.85
-12.468,-0.50906,161.81
-12.824,-0.52626,161.77
-13.179,-0.54396,161.72
-13.534,-0.56215,161.68
-13.889,-0.58083,161.64
-14.244,-0.6,161.59
-14.599,-0.61966,161.55
-14.953,-0.63982,161.5
-15.308,-0.66046,161.45
-15.662,-0.6816,161.4
-16.016,-0.70323,161.35
-16.369,-0.72534,161.3
-16.723,-0.74795,161.24
-17.076,-0.77104,161.19
-17.43,-0.79462,161.14
-17.795,-0.82015,161.08
-18.44,-0.8795,160.97
-19.097,-0.94305,160.85
-19.752,-1.0093,160.73
-20.407,-1.0783,160.61
-21.061,-1.15,160.48
-21.713,-1.2244,160.35
-22.365,-1.3015,160.21
-23.015,-1.3813,160.07
-23.664,-1.4637,159.93
-24.312,-1.5489,159.78
-24.959,-1.6367,159.63
-25.604,-1.7271,159.47
-26.248,-1.8202,159.31
-26.891,-1.916,159.14
-27.532,-2.0143,158.97
-28.172,-2.1153,158.8
-28.81,-2.2189,158.62
-29.447,-2.3251,158.44
-30.082,-2.4338,158.26
-30.716,-2.5452,158.07
-31.348,-2.6591,157.87
-31.979,-2.7756,157.67
-32.608,-2.8946,157.47
-33.235,-3.0162,157.27
-33.848,-3.1411,157.06
-34.187,-3.2888,156.95
-34.514,-3.4396,156.83
-34.839,-3.5927,156.72
-35.163,-3.7481,156.61
-35.487,-3.9058,156.49
-35.809,-4.0657,156.37
-36.13,-4.2279,156.26
-36.45,-4.3923,156.14
-36.769,-4.559,156.02
-37.087,-4.7279,155.9
-37.404,-4.899,155.78
-37.719,-5.0724,155.65
-38.033,-5.2479,155.53
-38.347,-5.4257,155.41
-38.659,-5.6056,155.28
-38.969,-5.7877,155.15
-39.279,-5.972,155.02
-39.587,-6.1585,154.9
-39.894,-6.3471,154.77
-40.2,-6.5379,154.63
-40.505,-6.7308,154.5
-40.808,-6.9259,154.37
-41.11,-7.123,154.23
-41.41,-7.3223,154.1
-41.717,-7.5249,153.96
-42.172,-7.7567,153.72
-42.632,-7.9926,153.48
-43.089,-8.2315,153.24
-43.543,-8.4734,152.99
-43.994,-8.7182,152.74
-44.443,-8.966,152.48
-44.888,-9.2165,152.22
-45.33,-9.47,151.96
-45.769,-9.7262,151.69
-46.205,-9.9853,151.42
-46.638,-10.247,151.15
-47.068,-10.512,150.87
-47.494,-10.779,150.59
-47.917,-11.049,150.3
-48.337,-11.321,150.01
-48.753,-11.596,149.72
-49.167,-11.874,149.43
-49.576,-12.154,149.13
-49.983,-12.437,148.83
-50.385,-12.722,148.52
-50.785,-13.009,148.22
-51.181,-13.299,147.9
-51.573,-13.592,147.59
-51.961,-13.886,147.27
-52.408,-14.208,146.91
-54.202,-15.084,145.81
-56.024,-16.006,144.62
-57.812,-16.946,143.4
-59.564,-17.905,142.14
-61.281,-18.881,140.84
-62.961,-19.874,139.5
-64.603,-20.883,138.12
-66.207,-21.907,136.7
-67.771,-22.945,135.25
-69.296,-23.995,133.76
-70.779,-25.058,132.23
-72.221,-26.132,130.67
-73.621,-27.216,129.07
-74.979,-28.31,127.45
-76.293,-29.411,125.78
-77.562,-30.52,124.09
-78.788,-31.635,122.36
-79.968,-32.755,120.6
-81.103,-33.878,118.82
-82.192,-35.005,117
-83.235,-36.134,115.15
-84.231,-37.264,113.28
-85.179,-38.393,111.38
-86.081,-39.522,109.45
-86.911,-40.636,107.54
-87.19,-41.51,106.52
-87.429,-42.374,105.54
-87.652,-43.238,104.55
-87.857,-44.103,103.55
-88.046,-44.969,102.55
-88.218,-45.835,101.55
-88.373,-46.7,100.54
-88.511,-47.565,99.518
-88.632,-48.429,98.496
-88.736,-49.292,97.469
-88.823,-50.154,96.437
-88.893,-51.014,95.4
