80.352,38,89.296
80.752,38,88.497
81.151,38,87.697
81.551,38,86.898
81.951,38,86.099
82.35,38,85.299
82.75,38,84.5
83.15,38,83.701
83.549,38,82.901
83.949,38,82.102
84.349,38,81.303
84.748,38,80.503
85.148,38,79.704
85.548,38,78.904
85.947,38,78.105
86.347,38,77.306
86.747,38,76.506
87.146,38,75.707
87.546,38,74.908
87.946,38,74.108
88.346,38,73.309
88.745,38,72.51
89.145,38,71.71
89.545,38,70.911
89.942,38.001,70.097
90.172,38.069,68.28
90.372,38.149,66.282
90.572,38.229,64.283
90.771,38.309,62.285
90.971,38.389,60.287
91.171,38.468,58.288
91.371,38.548,56.29
91.571,38.628,54.291
91.771,38.708,52.293
91.971,38.788,50.295
92.17,38.868,48.296
92.37,38.948,46.298
92.57,39.028,44.299
92.77,39.108,42.301
92.97,39.188,40.303
93.17,39.268,38.304
93.369,39.348,36.306
93.569,39.428,34.307
93.769,39.508,32.309
93.969,39.588,30.311
94.169,39.668,28.312
94.369,39.747,26.314
94.568,39.827,24.315
94.768,39.907,22.317
94.975,39.988,20.333
95.84,40.168,19.664
96.839,40.368,19.264
97.838,40.568,18.865
98.838,40.768,18.465
99.837,40.967,18.065
100.84,41.167,17.666
101.84,41.367,17.266
102.83,41.567,16.866
103.83,41.767,16.467
104.83,41.967,16.067
105.83,42.166,15.667
106.83,42.366,15.268
107.83,42.566,14.868
108.83,42.766,14.468
109.83,42.966,14.068
110.83,43.166,13.669
111.83,43.365,13.269
112.83,43.565,12.869
113.83,43.765,12.47
114.82,43.965,12.07
115.82,44.165,11.67
116.82,44.365,11.271
117.82,44.564,10.871
118.82,44.764,10.471
119.82,44.963,10.073
120.33,45.033,9.836
120.73,45.073,9.6361
121.13,45.113,9.4363
121.53,45.153,9.2365
121.93,45.193,9.0366
122.33,45.233,8.8368
122.73,45.273,8.6369
123.13,45.313,8.4371
123.53,45.353,8.2373
123.93,45.393,8.0374
124.32,45.432,7.8376
124.72,45.472,7.6377
125.12,45.512,7.4379
125.52,45.552,7.2381
125.92,45.592,7.0382
126.32,45.632,6.8384
126.72,45.672,6.6385
127.12,45.712,6.4387
127.52,45.752,6.2389
127.92,45.792,6.039
128.32,45.832,5.8392
128.72,45.872,5.6393
129.12,45.912,5.4395
129.52,45.952,5.2396
129.92,45.992,5.0399
130.32,46.032,4.872
130.72,46.072,4.7121
131.12,46.112,4.5522
131.52,46.152,4.3924
131.92,46.192,4.2325
132.32,46.232,4.0726
132.72,46.272,3.9127
133.12,46.312,3.7529
133.52,46.352,3.593
133.92,46.392,3.4331
134.32,46.432,3.2732
134.72,46.472,3.1134
135.12,46.512,2.9535
135.52,46.552,2.7936
135.92,46.592,2.6338
136.32,46.632,2.4739
136.71,46.671,2.314
137.11,46.711,2.1541
137.51,46.751,1.9943
137.91,46.791,1.8344
138.31,46.831,1.6745
138.71,46.871,1.5146
139.11,46.911,1.3548
139.51,46.951,1.1949
139.91,46.991,1.0355
140.31,47.031,1.1248
140.71,47.071,1.2847
141.11,47.111,1.4446
141.51,47.151,1.6045
141.91,47.191,1.7643
142.31,47.231,1.9242
142.71,47.271,2.0841
143.11,47.311,2.2439
143.51,47.351,2.4038
143.91,47.391,2.5637
144.31,47.431,2.7236
144.71,47.471,2.8834
145.11,47.511,3.0433
145.51,47.551,3.2032
145.91,47.591,3.3631
146.31,47.631,3.5229
146.71,47.671,3.6828
147.11,47.711,3.8427
147.51,47.751,4.0025
147.91,47.791,4.1624
148.31,47.831,4.3223
148.71,47.871,4.4822
149.11,47.911,4.642
149.5,47.95,4.8019
149.9,47.99,4.9618
150.61,48.03,5.1521
151.41,48.07,5.3519
152.21,48.11,5.5518
153.01,48.15,5.7516
153.81,48.19,5.9514
154.61,48.23,6.1513
155.4,48.27,6.3511
156.2,48.31,6.551
157,48.35,6.7508
157.8,48.39,6.9506
158.6,48.43,7.1505
159.4,48.47,7.3503
160.2,48.51,7.5502
161,48.55,7.75
161.8,48.59,7.9498
162.6,48.63,8.1497
163.4,48.67,8.3495
164.2,48.71,8.5494
165,48.75,8.7492
165.8,48.79,8.949
166.6,48.83,9.1489
167.39,48.87,9.3487
168.19,48.91,9.5486
168.99,48.95,9.7484
169.79,48.99,9.9482
170.15,49.03,10.592
170.35,49.07,11.392
170.55,49.11,12.191
170.75,49.15,12.99
170.95,49.189,13.79
171.15,49.229,14.589
171.35,49.269,15.389
171.55,49.309,16.188
171.75,49.349,16.987
171.95,49.389,17.787
172.15,49.429,18.586
172.35,49.469,19.385
172.55,49.509,20.185
172.75,49.549,20.984
172.95,49.589,21.783
173.15,49.629,22.583
173.35,49.669,23.382
173.55,49.709,24.182
173.75,49.749,24.981
173.95,49.789,25.78
174.14,49.829,26.58
174.34,49.869,27.379
174.54,49.909,28.178
174.74,49.949,28.978
174.94,49.989,29.777
174.57,50.144,30.144
173.97,50.344,30.344
173.37,50.544,30.544
172.77,50.744,30.744
172.17,50.943,30.943
171.57,51.143,31.143
170.97,51.343,31.343
170.37,51.543,31.543
169.77,51.743,31.743
169.17,51.943,31.943
168.57,52.143,32.143
167.97,52.342,32.342
167.37,52.542,32.542
166.77,52.742,32.742
166.17,52.942,32.942
165.57,53.142,33.142
164.98,53.342,33.342
164.38,53.541,33.541
163.78,53.741,33.741
163.18,53.941,33.941
162.58,54.141,34.141
161.98,54.341,34.341
161.38,54.541,34.541
160.78,54.74,34.74
160.18,54.94,34.94
159.44,55.028,35.14
158.64,55.068,35.34
157.84,55.108,35.54
157.04,55.148,35.74
156.24,55.188,35.939
155.44,55.228,36.139
154.64,55.268,36.339
153.84,55.308,36.539
153.04,55.348,36.739
152.25,55.388,36.939
151.45,55.428,37.139
150.65,55.468,37.338
149.85,55.508,37.538
149.05,55.548,37.738
148.25,55.588,37.938
147.45,55.628,38.138
146.65,55.668,38.338
145.85,55.707,38.537
145.05,55.747,38.737
144.25,55.787,38.937
143.45,55.827,39.137
142.65,55.867,39.337
141.85,55.907,39.537
141.05,55.947,39.736
140.25,55.987,39.936
138.91,56.027,40.136
137.31,56.067,40.336
135.71,56.107,40.536
134.11,56.147,40.736
132.52,56.187,40.936
130.92,56.227,41.135
129.32,56.267,41.335
127.72,56.307,41.535
126.12,56.347,41.735
124.52,56.387,41.935
122.92,56.427,42.135
121.32,56.467,42.334
119.73,56.507,42.534
118.13,56.547,42.734
116.53,56.587,42.934
114.93,56.627,43.134
113.33,56.667,43.334
111.73,56.707,43.533
110.13,56.747,43.733
108.54,56.787,43.933
106.94,56.827,44.133
105.34,56.867,44.333
103.74,56.907,44.533
102.14,56.946,44.732
100.54,56.986,44.932
99.736,57.026,45.132
99.336,57.066,45.332
98.936,57.106,45.532
98.537,57.146,45.732
98.137,57.186,45.932
97.737,57.226,46.131
97.338,57.266,46.331
96.938,57.306,46.531
96.538,57.346,46.731
96.139,57.386,46.931
95.739,57.426,47.131
95.339,57.466,47.33
94.939,57.506,47.53
94.54,57.546,47.73
94.14,57.586,47.93
93.74,57.626,48.13
93.341,57.666,48.33
92.941,57.706,48.529
92.541,57.746,48.729
92.142,57.786,48.929
91.742,57.826,49.129
91.342,57.866,49.329
90.943,57.906,49.529
90.543,57.946,49.729
90.143,57.986,49.928
89.744,58.026,50.256
89.344,58.066,50.656
88.944,58.106,51.056
88.545,58.146,51.455
88.145,58.186,51.855
87.745,58.225,52.255
87.346,58.265,52.654
86.946,58.305,53.054
86.546,58.345,53.454
86.146,58.385,53.854
85.747,58.425,54.253
85.347,58.465,54.653
84.947,58.505,55.053
84.548,58.545,55.452
84.148,58.585,55.852
83.748,58.625,56.252
83.349,58.665,56.651
