6.0,80.352,38,89.296
6.0352,80.352,38,89.296
6.0752,80.752,38,88.497
6.1151,81.151,38,87.697
6.1551,81.551,38,86.898
6.1951,81.951,38,86.099
6.235,82.35,38,85.299
6.275,82.75,38,84.5
6.315,83.15,38,83.701
6.3549,83.549,38,82.901
6.3949,83.949,38,82.102
6.4349,84.349,38,81.303
6.4748,84.748,38,80.503
6.5148,85.148,38,79.704
6.5548,85.548,38,78.904
6.5947,85.947,38,78.105
6.6347,86.347,38,77.306
6.6747,86.747,38,76.506
6.7146,87.146,38,75.707
6.7546,87.546,38,74.908
6.7946,87.946,38,74.108
6.8346,88.346,38,73.309
6.8745,88.745,38,72.51
6.9145,89.145,38,71.71
6.9545,89.545,38,70.911
6.9944,89.942,38.001,70.097
7.0344,90.172,38.069,68.28
7.0744,90.372,38.149,66.282
7.1143,90.572,38.229,64.283
7.1543,90.771,38.309,62.285
7.1943,90.971,38.389,60.287
7.2342,91.171,38.468,58.288
7.2742,91.371,38.548,56.29
7.3142,91.571,38.628,54.291
7.3541,91.771,38.708,52.293
7.3941,91.971,38.788,50.295
7.4341,92.17,38.868,48.296
7.474,92.37,38.948,46.298
7.514,92.57,39.028,44.299
7.554,92.77,39.108,42.301
7.5939,92.97,39.188,40.303
7.6339,93.17,39.268,38.304
7.6739,93.369,39.348,36.306
7.7139,93.569,39.428,34.307
7.7538,93.769,39.508,32.309
7.7938,93.969,39.588,30.311
7.8338,94.169,39.668,28.312
7.8737,94.369,39.747,26.314
7.9137,94.568,39.827,24.315
7.9537,94.768,39.907,22.317
7.9936,94.975,39.988,20.333
8.0336,95.84,40.168,19.664
8.0736,96.839,40.368,19.264
8.1135,97.838,40.568,18.865
8.1535,98.838,40.768,18.465
8.1935,99.837,40.967,18.065
8.2334,100.84,41.167,17.666
8.2734,101.84,41.367,17.266
8.3134,102.83,41.567,16.866
8.3533,103.83,41.767,16.467
8.3933,104.83,41.967,16.067
8.4333,105.83,42.166,15.667
8.4732,106.83,42.366,15.268
8.5132,107.83,42.566,14.868
8.5532,108.83,42.766,14.468
8.5932,109.83,42.966,14.068
8.6331,110.83,43.166,13.669
8.6731,111.83,43.365,13.269
8.7131,112.83,43.565,12.869
8.753,113.83,43.765,12.47
8.793,114.82,43.965,12.07
8.833,115.82,44.165,11.67
8.8729,116.82,44.365,11.271
8.9129,117.82,44.564,10.871
8.9529,118.82,44.764,10.471
8.9928,119.82,44.963,10.073
9.0328,120.33,45.033,9.836
9.0728,120.73,45.073,9.6361
9.1127,121.13,45.113,9.4363
9.1527,121.53,45.153,9.2365
